,source,target,year,weight
3278,bocom international securities limited,valuable capital limited,2020,1
3279,valuable capital limited,china industrial securities international futures limited,2015,1
3280,china industrial securities international futures limited,bocom international securities limited,2012,1
3281,venture smart asia limited,hsbc broking securities (asia) limited,2010,1
3282,china tonghai capital limited,deloitte & touche corporate finance limited,2004,1
3283,deloitte & touche corporate finance limited,rhb capital hong kong limited,2011,1
3284,rhb capital hong kong limited,abci capital limited,2014,1
3285,sg asset finance (hong kong) limited,mason securities limited,2018,1
3286,phoenix capital asia limited,glory sun securities limited,2018,1
3287,glory sun securities limited,evolution asia investments limited,nan,1
3288,brilliant corporate finance limited,phoenix capital asia limited,2007,1
3289,zijing capital limited,south china research limited,2018,1
3290,south china research limited,fortune financial capital limited,2019,1
3291,citic securities brokerage (hk) limited,everbright securities investment services (hk) limited,2003,1
3292,fil investment advisors,fitch (hong kong) limited,2011,1
3293,fitch (hong kong) limited,credit suisse (hong kong) limited,2007,1
3294,fulbright securities limited,phillip securities (hong kong) limited,2012,1
3295,phillip securities (hong kong) limited,amtd global markets limited,2011,1
3296,citic securities brokerage (hk) limited,sinopac securities (asia) limited,2017,1
3297,sinopac securities (asia) limited,tung shing securities (brokers) limited,2006,1
3298,cmb international capital limited,boci securities limited,2008,1
3299,credit agricole securities (asia) limited,hsbc securities brokers (asia) limited,2008,1
3300,phillip securities (hong kong) limited,pegasus fund managers limited,nan,1
3301,paochu investment advisory limited,everbright securities investment services (hk) limited,2004,1
3302,everbright securities investment services (hk) limited,cinda international investment consultant limited,2003,1
3303,gain capital - forex.com hong kong limited,swissquote asia limited,2013,1
3304,credit suisse (hong kong) limited,ubs securities asia limited,nan,1
3305,ubs securities asia limited,credit suisse (hong kong) limited,2014,1
3306,credit suisse (hong kong) limited,aletheia capital (hong kong) limited,2020,1
3307,jafco investment (hong kong) limited,samena capital hong kong limited,2016,1
3308,stormharbour securities (hong kong) limited,"spring capital asia, limited",2008,1
3309,prudential brokerage limited,ping an of china securities (hong kong) company limited,2015,1
3310,"central china international securities co., limited",china pa securities (hong kong) company limited,2019,1
3311,forthright securities company limited,sinopac securities (asia) limited,2017,1
3312,oneplatform asset management limited,principal investment & retirement services limited,2016,1
3313,principal investment & retirement services limited,oneplatform asset management limited,2014,1
3314,ces commodities (hk) limited,shun loong futures limited,nan,1
3315,topmore commodities limited,fdb financial group limited,2021,1
3316,fdb financial group limited,excellent tide limited,2017,1
3317,excellent tide limited,bright smart futures & commodities company limited,2008,1
3318,ping an of china futures (hong kong) company limited,huarong international securities limited,2009,1
3319,huarong international securities limited,kaiser futures limited,2006,1
3320,kaiser futures limited,south china asset management limited,2018,1
3321,success futures and foreign exchange limited,huatai financial holdings (hong kong) limited,2011,1
3322,cantor fitzgerald (hong kong) capital markets limited,sg securities (hk) limited,nan,1
3323,oneplatform asset management limited,lion global financial limited,2013,1
3324,oneplatform asset management limited,iam legacy limited,2009,1
3325,sg securities (hk) limited,pimco asia limited,2012,1
3326,sinopac securities (asia) limited,"china merchants securities (hk) co., limited",2015,1
3327,"china merchants securities (hk) co., limited",everbright securities investment services (hk) limited,2006,1
3328,everbright securities investment services (hk) limited,first capital securities limited,2017,1
3329,first capital securities limited,new momentum asset management limited,2016,1
3330,new momentum asset management limited,oriental patron securities limited,2012,1
3331,oriental patron securities limited,zhongtai international securities limited,2018,1
3332,samsung securities (asia) limited,barclays capital asia limited,2011,1
3333,clsa limited,first fidelity capital (international) limited,2022,1
3334,uob kay hian (hong kong) limited,clsa limited,nan,1
3335,cinda international securities limited,aif securities limited,2018,1
3336,aif securities limited,mib securities (hong kong) limited,2020,1
3337,kgi asia limited,fulbright securities limited,2022,1
3338,core pacific-yamaichi futures (h.k.) limited,de tiger capital limited,2018,1
3339,etrade securities (hong kong) limited,southwest securities (hk) futures limited,2004,1
3340,southwest securities (hk) futures limited,cinda international investment management limited,2005,1
3341,mizuho securities asia limited,credit suisse (hong kong) limited,2016,1
3342,credit suisse (hong kong) limited,natixis asia limited,2018,1
3343,bank consortium trust company limited,bocom mpf & financial services company limited,2012,1
3344,bocom mpf & financial services company limited,oneplatform asset management limited,2005,1
3345,north beta international securities limited,kbc financial products hong kong limited,nan,1
3346,kbc financial products hong kong limited,deutsche securities asia limited,2005,1
3347,yuanta securities (hong kong) company limited,core pacific-yamaichi securities (h.k.) limited,2011,1
3348,cash wealth management limited,ibest consultants limited,2006,1
3349,js cresvale securities international limited,founder futures (hong kong) limited,2016,1
3350,founder futures (hong kong) limited,essence international securities (hong kong) limited,2019,1
3351,nomura international (hong kong) limited,haitong international research limited,2014,1
3352,rakuten securities hong kong limited,south china asset management limited,2019,1
3353,bright smart futures & commodities company limited,haitong international securities company limited,2006,1
3354,east asia securities company limited,fulbright securities limited,2018,1
3355,silverbricks securities company limited,draco capital limited,2019,1
3356,ibest consultants limited,haitong international securities company limited,2011,1
3357,haitong international securities company limited,silverbricks securities company limited,2020,1
3358,luk fook futures (hk) limited,okasan international (asia) limited,2014,1
3359,okasan international (asia) limited,cosmos one capital limited,2020,1
3360,cosmos one capital limited,ces commodities (hk) limited,2011,1
